,MBID,#1 Most Used Bpm,Percentage of 1st,#2 Most Used Bpm,Percentage of 2nd,Total # Duplicates
1,003304eb-5bb9-498e-8185-c6b220e75692,112.0,78.7878787879,Nan,Nan,33
2,0035d310-3bfc-46c7-9cb7-93e77dd5e171,97.0,100.0,Nan,Nan,32
3,0069c0f7-9274-4b4b-a10e-110b90a4bcc0,156.0,50.0,162.0,26.190476190476193,42
4,00c47ea6-3a10-4a32-b1f1-990ac756c6a0,126.0,100.0,Nan,Nan,36
5,00e37446-2e4c-409a-a8a1-ed94f1b01a57,123.0,91.4893617021,Nan,Nan,94
6,00e80381-2362-485c-aa47-942ff63f0ac0,172.0,81.3953488372,87.0,11.627906976744185,43
7,01471832-f446-43b9-be53-ce344c0c5134,79.0,100.0,Nan,Nan,35
8,0151d8a4-50c8-4036-b824-4a4f4b140e8e,108.0,43.0555555556,156.0,13.88888888888889,72
9,015d8824-bf10-4878-bf54-5830d1d7c587,105.0,100.0,Nan,Nan,32
10,01bffd8a-59c8-451b-b79c-600b416ac1af,172.0,100.0,Nan,Nan,37
11,01c2ce15-bc8b-4629-825d-03d0f24d90bb,172.0,45.9459459459,110.0,8.108108108108109,37
12,02011500-814c-461c-b3a6-f24fe68ee5a1,100.0,100.0,Nan,Nan,42
13,0228afad-4f8d-4502-95da-3288347f67e1,164.0,100.0,Nan,Nan,37
14,02690387-dbd9-4d24-bbf5-1d2d7ca103ac,137.0,100.0,Nan,Nan,45
15,028efe7f-cdfb-4135-846f-848f2fff15b1,136.0,95.2380952381,Nan,Nan,42
16,02d807d4-ff48-49e0-afbd-4552a688a7a1,135.0,98.1481481481,129.0,1.8518518518518516,54
17,02d9abc4-0731-4770-8c77-06d099c425eb,99.0,97.8260869565,Nan,Nan,46
18,03cc8612-0a03-416f-9b49-cde52cfd8762,172.0,97.0588235294,130.0,2.941176470588235,34
19,04233db6-f991-4fb2-bef9-813f95a0bf30,102.0,100.0,Nan,Nan,37
20,0432a2b7-614b-4389-b4fd-44ecdaddc84f,126.0,94.4444444444,Nan,Nan,54
21,048e135c-204d-4d77-8e6a-203920768e4f,136.0,61.6666666667,94.0,11.666666666666666,60
22,049fd1a2-9f5d-4af3-91b1-ab8e20618b7e,84.0,100.0,Nan,Nan,34
23,04c89e17-246b-4bbe-a72a-551d6f5d892d,124.0,92.5,129.0,7.5,40
24,04f96056-91ac-4b64-af89-24c596013f05,137.0,100.0,Nan,Nan,33
25,053d552a-1718-42d0-82e8-2fdcc2d5b30e,155.0,100.0,Nan,Nan,42
26,05833d73-e1e0-4d69-a00b-a586f8ffb3b6,121.0,72.5,172.0,10.0,80
27,05d6e89e-54cf-45a0-a25f-e79156d00664,151.0,88.8888888889,Nan,Nan,63
28,0613aa58-5a5a-4d13-94fd-7f1c8bef1fb1,153.0,66.6666666667,104.0,30.303030303030305,33
29,062f1c9f-564c-4eb7-9baf-b8944cd17ad3,87.0,17.6470588235,135.0,11.76470588235294,34
30,0660bd9d-a865-43f4-8ade-53fcf6c371de,130.0,84.375,86.0,15.625,32
31,0678c7b3-9023-43da-ba62-ef60d8b3a298,165.0,100.0,Nan,Nan,37
32,0681520a-6499-4cb8-91aa-7df5dfafea2e,155.0,15.0943396226,82.0,9.433962264150944,53
33,07689d4c-540d-4518-9a41-52931b7f061f,155.0,100.0,Nan,Nan,35
34,07b720fc-0d6f-4342-a6df-876d1749de0b,120.0,100.0,Nan,Nan,32
